Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
197,"Seton Hall UniversitySouth Orange, NJ",51370,36110,1300,0.79,9494,0.71,14.00
198,"Seattle Pacific UniversitySeattle, WA",38814,20850,1200,0.91,2659,0.62,10.00
199,"Gardner-Webb UniversityBoiling Springs, NC",33450,11300,1140,0.87,3125,0.62,11.00
200,"The University of AlabamaTuscaloosa, AL",33200,33040,1280,0.76,39622,0.74,19.00
201,"Hofstra UniversityHempstead, NY",55450,29950,1290,0.71,10393,0.67,13.00
202,"Valdosta State UniversityValdosta, GA",17062,18106,1030,0.83,10151,0.42,17.00
203,"Rowan UniversityGlassboro, NJ",25564,17645,1210,0.78,19660,0.68,16.00
204,"Howard UniversityWashington, DC",33344,38050,1200,0.35,13416,0.69,11.00
205,"University of KansasLawrence, KS",29412,26236,1160,0.88,28406,0.69,17.00
206,"Texas Tech UniversityLubbock, TX",24451,17918,1170,0.71,40773,0.67,21.00
207,"Mercer UniversityMacon, GA",33380,17865,1260,0.66,9124,0.73,13.00
208,"Jackson State UniversityJackson, MS",9795,9795,960,0.91,6564,0.32,15.00
209,"University of Alabama in HuntsvilleHuntsville, AL",24770,25484,1330,0.74,8743,0.62,17.00
210,"California State University-FullertonFullerton, CA",18953,18011,-,0.87,41962,0.69,22.00
211,"Temple UniversityPhiladelphia, PA",37248,28523,-,0.83,30205,0.75,12.00
212,"St. John Fisher UniversityRochester, NY",39666,19912,1195,0.68,3674,0.74,12.00
213,"University of North DakotaGrand Forks, ND",15570,19658,-,0.77,14172,0.63,17.00
214,"Virginia Commonwealth UniversityRichmond, VA",38817,31589,1160,0.93,28238,0.65,17.00
215,"Florida Agricultural and Mechanical UniversityTallahassee, FL",17725,24669,1090,0.21,9265,0.52,14.00
216,"Pace UniversityNew York, NY",51424,29363,1220,0.77,14092,0.61,16.00
217,"Grand Canyon UniversityPhoenix, AZ",17263,11124,1105,0.6,107563,0.43,21.00
218,"North Dakota State University-Main CampusFargo, ND",15511,12538,-,0.96,11952,0.64,18.00
219,"University of Alabama at BirminghamBirmingham, AL",21864,20556,1260,0.88,21160,0.63,18.00
220,"California State University-FresnoFresno, CA",18860,17918,-,0.96,23986,0.55,18.00
221,"Wayne State UniversityDetroit, MI",33158,41820,1140,0.82,23553,0.57,13.00
222,"Northern Illinois UniversityDekalb, IL",12506,9090,-,0.7,15504,0.5,14.00
223,"San Francisco State UniversitySan Francisco, CA",19304,18362,-,0.96,23908,0.5,16.00
224,"The University of Texas at DallasRichardson, TX",40064,29468,1290,0.65,30885,0.71,27.00
225,"University of North Carolina at CharlotteCharlotte, NC",21876,22438,1220,0.8,30298,0.68,21.00
226,"University of Massachusetts-BostonBoston, MA",37171,38406,1180,0.83,15810,0.51,15.00
227,"West Virginia UniversityMorgantown, WV",27360,28260,1120,0.86,24200,0.61,17.00
228,"University of Akron Main CampusAkron, OH",17239,15171,1080,0.71,13518,0.48,16.00
229,"University of North TexasDenton, TX",21244,16622,1100,0.72,47507,0.6,23.00
230,"The University of Texas Rio Grande ValleyEdinburg, TX",19542,15994,1020,0.85,31931,0.49,19.00
231,"University of California-RiversideRiverside, CA",44947,29468,-,0.63,26426,0.77,23.00
232,"University at AlbanyAlbany, NY",28998,25875,-,0.7,16880,0.64,17.00
233,"University of IdahoMoscow, ID",29784,29784,1076,0.79,11849,0.61,17.00
234,"DePaul UniversityChicago, IL",44174,22525,1230,0.74,21348,0.7,17.00
235,"The University of Texas at ArlingtonArlington, TX",29659,25345,1110,0.81,43992,0.57,23.00
236,"Middle Tennessee State UniversityMurfreesboro, TN",29042,28170,1100,0.68,20183,0.54,17.00
237,"Union UniversityJackson, TN",20302,11953,1190,0.47,2674,0.71,8.00
238,"Auburn UniversityAuburn, AL",33944,33908,1310,0.5,33015,0.79,21.00
239,"Immaculata UniversityImmaculata, PA",28550,12780,1150,0.78,2407,0.64,10.00
240,"Northern Arizona UniversityFlagstaff, AZ",19015,22077,-,0.91,28186,0.57,19.00
241,"Widener UniversityChester, PA",53638,27105,1170,0.84,5610,0.64,11.00
242,"Andrews UniversityBerrien Springs, MI",33710,28440,1200,0.87,2837,0.66,10.00
